"","Model_ID","Model_name","time","main_type","sub_type","type","series","history","support"
"140","111","SS-EC1279U-SAS-RP","2013/09/30","Enterprise","High-end","12-Bay","SS-x79U-SAS Series","EOL","ㅴ누"
"141","110","SS-EC1879U-SAS-RP","2013/09/30","Enterprise","High-end","18-Bay","SS-x79U-SAS Series","EOL","ㅴ누"
"142","109","SS-EC2479U-SAS-RP","2013/09/30","Enterprise","High-end","24-Bay","SS-x79U-SAS Series","EOL","ㅴ누"
"143","108","TS-870 Pro","2013/08/14","SMB","","8-Bay","TS-x70 Pro Series","EOL","ㅴ누"
"144","107","TS-670 Pro","2013/08/14","SMB","","6-Bay","TS-x70 Pro Series","EOL","ㅴ누"
"145","106","TS-470 Pro","2013/08/14","SMB","","4-Bay","TS-x70 Pro Series","EOL","ㅴ누"
"146","102","TS-120","2013/03/29","Home & SOHO","Work Group / SOHO / Home (Middle-end)","1-Bay","TS-x20 Series","EOL","ㅴ누"
"147","38","TS-1270U-RP","2012/10/29","SMB","","12-Bay","TS-x70U Series","EOL","ㅴ누"
"148","37","TS-870U-RP","2012/10/29","SMB","","8-Bay","TS-x70U Series","EOL","ㅴ누"
"149","27","TS-EC1679U-RP","2012/03/30","SMB","","16-Bay","TS-x79U Series","EOL","ㅴ누"
"150","26","TS-1679U-RP","2012/03/30","SMB","","16-Bay","TS-x79U Series","EOL","ㅴ누"
"151","20","TS-EC1279U-RP","2011/11/25","SMB","","12-Bay","TS-x79U Series","EOL","ㅴ누"
"152","19","TS-1279U-RP","2011/11/25","SMB","","12-Bay","TS-x79U Series","EOL","ㅴ누"
"153","18","TS-1079 Pro","2011/11/25","Enterprise","","10-Bay","TS-x79 Pro Series","EOL","ㅴ누"
"154","17","TS-EC879U-RP","2011/11/16","SMB","","8-Bay","TS-x79U Series","EOL","ㅴ누"
"155","16","TS-879U-RP","2011/11/16","SMB","","8-Bay","TS-x79U Series","EOL","ㅴ누"
"156","15","TS-879 Pro","2011/11/16","SMB","","8-Bay","TS-x79 Pro Series","EOL","ㅴ누"
"157","12","TS-412","2011/11/16","Home & SOHO","SOHO / Home (Entry-level)","4-Bay","TS-x12 Series","EOL","ㅴ누"
